AllocationOwner,State_x,LinkField,ContractorName,State_y
CENTRAL ARIZONA PROJECT,AZ,central arizona projectaz,Central Arizona Project,AZ
MARICOPA WATER DISTRICT,AZ,maricopa water districtaz,Maricopa Water District,AZ
US BUREAU OF RECLAMATION  YUMA AREA OFFICE,AZ,us bureau of reclamation  yuma area officeaz,,
CALIFORNIA DEPARTMENT OF WATER RESOURCES,CA,california department of water resourcesca,California Department of Water Resources,CA
COACHELLA VALLEY WATER DISTRICT,CA,coachella valley water districtca,Coachella Valley Water District,CA
EL DORADO IRRIGATION DISTRICT,CA,el dorado irrigation districtca,El Dorado Irrigation District,CA
SOLANO COUNTY WATER AGENCY,CA,solano county water agencyca,Solano County Water Agency,CA
BOISE PROJECT BOARD OF CONTROL,ID,boise project board of controlid,Boise Project Board of Control,ID
LEWISTON ORCHARDS IRRIGATION DISTRICT,ID,lewiston orchards irrigation districtid,Lewiston Orchards Irrigation District,ID
LITTLE WOOD RIVER IRRIGATION DISTRICT,ID,little wood river irrigation districtid,Little Wood River Irrigation District,ID
MANN CREEK IRRIGATION DISTRICT,ID,mann creek irrigation districtid,Mann Creek Irrigation District,ID
MALTA IRRIGATION DISTRICT,MT,malta irrigation districtmt,Malta Irrigation District,MT
EAST BENCH IRRIGATION DISTRICT,MT,east bench irrigation districtmt,East Bench Irrigation District,MT
GREENFIELDS IRRIGATION DISTRICT,MT,greenfields irrigation districtmt,Greenfields Irrigation District,MT
HELENA VALLEY IRRIGATION DISTRICT,MT,helena valley irrigation districtmt,Helena Valley Irrigation District,MT
INTAKE IRRIGATION DISTRICT,MT,intake irrigation districtmt,Intake Irrigation District,MT
PARADISE VALLEY IRRIGATION DISTRICT,MT,paradise valley irrigation districtmt,Paradise Valley Irrigation District,MT
TOSTON IRRIGATION DISTRICT,MT,toston irrigation districtmt,Toston Irrigation District,MT
BUFORDTRENTON IRRIGATION DISTRICT,ND,bufordtrenton irrigation districtnd,Buford-Trenton Irrigation District,ND
PERSHING COUNTY WATER CONSERVATION DISTRICT,NV,pershing county water conservation districtnv,Pershing County Water Conservation District,NV
TRUCKEECARSON IRRIGATION DISTRICT,NV,truckeecarson irrigation districtnv,Truckee-Carson Irrigation District,NV
US FISH AND WILDLIFE SERVICE,NV,us fish and wildlife servicenv,U.S. Fish and Wildlife Service,NV
USBUREAU OF RECLAMATION,NV,usbureau of reclamationnv,,
BUREAU OF RECLAMATION UMATILLA FIELD OFFICE,OR,bureau of reclamation umatilla field officeor,,
CENTRAL OREGON IRRIGATION DISTRICT,OR,central oregon irrigation districtor,Central Oregon Irrigation District,OR
OCHOCO IRRIGATION DISTRICT,OR,ochoco irrigation districtor,Ochoco Irrigation District,OR
VALE OREGON IRRIGATION DISTRICT,OR,vale oregon irrigation districtor,Vale Oregon Irrigation District,OR
CITY OF RAPID CITY,SD,city of rapid citysd,City of Rapid City,SD
CITY OF CORPUS CHRISTI,TX,city of corpus christitx,City of Corpus Christi,TX
 CITY OF CORPUS CHRISTI,TX,city of corpus christitx,City of Corpus Christi,TX
CENTRAL UTAH WATER CONSERVANCY DISTRICT,UT,central utah water conservancy districtut,Central Utah Water Conservancy District,UT
CARBON WATER CONSERVANCY DISTRICT,UT,carbon water conservancy districtut,Carbon Water Conservancy District,UT
HUNTINGTONCLEVELAND IRRIGATION COMPANY,UT,huntingtoncleveland irrigation companyut,Huntington-Cleveland Irrigation Company,UT
WEBER BASIN WATER CONSERVANCY DISTRICT,UT,weber basin water conservancy districtut,Weber Basin Water Conservancy District,UT
COTTONWOOD CREEK CONSOLIDATED IRRIGATION COMPANY,UT,cottonwood creek consolidated irrigation companyut,Cottonwood Creek Consolidated Irrigation Company,UT
