AllocationUUID,AllocationOwner,OwnerClassificationCV,State_x,LinkFieldA,ContractorName,State_y,LinkFieldB,success,SourceNum,WebLink
AZwr_WR200316,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR202944,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR202945,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR206893,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR206894,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR208421,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR212424,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR218283,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR220976,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR221172,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR221213,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR221259,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR221868,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR223294,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR227017,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR228013,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR230540,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR238056,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR238057,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR516893,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR540579,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR562643,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR564778,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR564820,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569561,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569562,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569563,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569564,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569565,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569566,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569567,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569568,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569569,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569570,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569571,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569572,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569573,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569574,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569575,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569576,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569577,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569578,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569579,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569580,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569581,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569582,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569583,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569584,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569585,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569586,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569587,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR569588,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR573555,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR573556,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR573557,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR573558,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR577984,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR578113,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR578114,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR579995,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR579996,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR579997,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR579998,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR580713,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR582719,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR583564,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR583828,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR584130,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR584290,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR586102,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR586834,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR586951,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR587997,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR588090,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR590905,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR590906,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR590907,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR592381,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR592382,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594886,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594887,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594888,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594889,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594890,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594891,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594892,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR598781,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR598782,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR599236,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
