AllocationUUID,AllocationOwner,OwnerClassificationCV,State,LinkFieldA,index,ContractorName,LinkFieldB,success
AZwr_WR330000110000,Salt River Valley Water Users Association,Private,AZ,salt river valley water users associationaz,"235.0,236.0,494.0,336.0,216.0,508.0,30.0",Salt River Valley Water Users Association,salt river valley water users associationaz,1
AZwr_WR587062,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR587063,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR587064,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR587065,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR587066,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR587067,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR587068,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR587585,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589264,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589410,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589411,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589412,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589413,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589414,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589415,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589416,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589417,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589418,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589419,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589420,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589421,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589422,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589423,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589424,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589425,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589503,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589504,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589505,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589506,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589625,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589626,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589627,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589628,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589629,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589630,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589631,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589632,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR589633,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR701516,Salt River Valley Water Users Association,Private,AZ,salt river valley water users associationaz,"235.0,236.0,494.0,336.0,216.0,508.0,30.0",Salt River Valley Water Users Association,salt river valley water users associationaz,1
AZwr_WR902988,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR902989,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR902990,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR902991,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR902992,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
AZwr_WR902994,Central Arizona Water Conservation District,Private,AZ,central arizona water conservation districtaz,"353.0,419.0,420.0,421.0,422.0",Central Arizona Water Conservation District,central arizona water conservation districtaz,1
CAwr_WRA002937,San Benito County Water District,WaDE Blank,CA,san benito county water districtca,"438.0,439.0",San Benito County Water District,san benito county water districtca,1
CAwr_WRA005210,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,"505.0,506.0,507.0",Solano County Water Agency,solano county water agencyca,1
CAwr_WRA005941,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRA007482,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,"456.0,454.0,455.0",Imperial Irrigation District,imperial irrigation districtca,1
CAwr_WRA007739,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,"456.0,454.0,455.0",Imperial Irrigation District,imperial irrigation districtca,1
CAwr_WRA007740,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,"456.0,454.0,455.0",Imperial Irrigation District,imperial irrigation districtca,1
CAwr_WRA007741,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,"456.0,454.0,455.0",Imperial Irrigation District,imperial irrigation districtca,1
CAwr_WRA007742,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,"456.0,454.0,455.0",Imperial Irrigation District,imperial irrigation districtca,1
CAwr_WRA007743,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,"456.0,454.0,455.0",Imperial Irrigation District,imperial irrigation districtca,1
CAwr_WRA008534,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,"456.0,454.0,455.0",Imperial Irrigation District,imperial irrigation districtca,1
CAwr_WRA008642,San Benito County Water District,WaDE Blank,CA,san benito county water districtca,"438.0,439.0",San Benito County Water District,san benito county water districtca,1
CAwr_WRA011199,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,"505.0,506.0,507.0",Solano County Water Agency,solano county water agencyca,1
CAwr_WRA011311,Casitas Municipal Water District,WaDE Blank,CA,casitas municipal water districtca,"80.0,431.0,79.0",Casitas Municipal Water District,casitas municipal water districtca,1
CAwr_WRA012566,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,"505.0,506.0,507.0",Solano County Water Agency,solano county water agencyca,1
CAwr_WRA012578,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,"505.0,506.0,507.0",Solano County Water Agency,solano county water agencyca,1
CAwr_WRA015998,Casitas Municipal Water District,WaDE Blank,CA,casitas municipal water districtca,"80.0,431.0,79.0",Casitas Municipal Water District,casitas municipal water districtca,1
CAwr_WRA017311,Madera Irrigation District,WaDE Blank,CA,madera irrigation districtca,259.0,Madera Irrigation District,madera irrigation districtca,1
CAwr_WRA017782,San Benito County Water District,WaDE Blank,CA,san benito county water districtca,"438.0,439.0",San Benito County Water District,san benito county water districtca,1
CAwr_WRA020245,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRA025176,Solano Irrigation District,WaDE Blank,CA,solano irrigation districtca,"332.0,415.0",Solano Irrigation District,solano irrigation districtca,1
CAwr_WRA025516A,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRA025829,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRA027893,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC000341,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC002675,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC002676,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC002677,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC002678,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC002679,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC002680,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004768,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004769,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004770,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004771,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004772,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004773,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004774,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004775,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004776,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004778,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004779,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004780,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004781,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004782,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004783,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004784,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004785,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004786,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004787,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004788,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004789,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004790,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004791,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004792,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004793,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004794,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004795,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC004796,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRC005302,Contra Costa Water District,WaDE Blank,CA,contra costa water districtca,"104.0,310.0,102.0,103.0",Contra Costa Water District,contra costa water districtca,1
CAwr_WRG560104L004,Casitas Municipal Water District,WaDE Blank,CA,casitas municipal water districtca,"80.0,431.0,79.0",Casitas Municipal Water District,casitas municipal water districtca,1
CAwr_WRG560105L004,Casitas Municipal Water District,WaDE Blank,CA,casitas municipal water districtca,"80.0,431.0,79.0",Casitas Municipal Water District,casitas municipal water districtca,1
CAwr_WRG560450L004,Casitas Municipal Water District,WaDE Blank,CA,casitas municipal water districtca,"80.0,431.0,79.0",Casitas Municipal Water District,casitas municipal water districtca,1
CAwr_WRS004978,Madera Irrigation District,WaDE Blank,CA,madera irrigation districtca,259.0,Madera Irrigation District,madera irrigation districtca,1
CAwr_WRS012547,Madera Irrigation District,WaDE Blank,CA,madera irrigation districtca,259.0,Madera Irrigation District,madera irrigation districtca,1
CAwr_WRS014187,Madera Irrigation District,WaDE Blank,CA,madera irrigation districtca,259.0,Madera Irrigation District,madera irrigation districtca,1
CAwr_WRS020769,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,"505.0,506.0,507.0",Solano County Water Agency,solano county water agencyca,1
CAwr_WRS020770,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,"505.0,506.0,507.0",Solano County Water Agency,solano county water agencyca,1
CAwr_WRS020771,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,"505.0,506.0,507.0",Solano County Water Agency,solano county water agencyca,1
CAwr_WRS020772,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,"505.0,506.0,507.0",Solano County Water Agency,solano county water agencyca,1
CAwr_WRS024478,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,"505.0,506.0,507.0",Solano County Water Agency,solano county water agencyca,1
CAwr_WRS024479,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,"505.0,506.0,507.0",Solano County Water Agency,solano county water agencyca,1
IDwr_WR371132,Little Wood River Irrigation District,WaDE Blank,ID,little wood river irrigation districtid,293.0,Little Wood River Irrigation District,little wood river irrigation districtid,1
IDwr_WR372773,Little Wood River Irrigation District,WaDE Blank,ID,little wood river irrigation districtid,293.0,Little Wood River Irrigation District,little wood river irrigation districtid,1
IDwr_WR372774,Little Wood River Irrigation District,WaDE Blank,ID,little wood river irrigation districtid,293.0,Little Wood River Irrigation District,little wood river irrigation districtid,1
IDwr_WR372779,Little Wood River Irrigation District,WaDE Blank,ID,little wood river irrigation districtid,293.0,Little Wood River Irrigation District,little wood river irrigation districtid,1
IDwr_WR37421,Little Wood River Irrigation District,WaDE Blank,ID,little wood river irrigation districtid,293.0,Little Wood River Irrigation District,little wood river irrigation districtid,1
