Term,Name,WaDEname,State,Abbreviation,Definition,Category,Provenance,Provenance_uri,Note,Provenance_uri,Note
Required (unique),Required (unique),Required,Required,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional
Agricultural,Agricultural,Agriculture Irrigation,"AZ, CA, CO, NJ, UT",,,Consumptive,,,,,
AgriculturalConsumptiveUse,Agricultural Consumptive Use,Agriculture Irrigation,WY,,,Consumptive,,,,,
AgriculturalSpraying,Agricultural Spraying,Agriculture Irrigation,MT,,,Consumptive,,,,,
Agriculture,Agriculture,Agriculture Irrigation,"CA, OK, TX, UT",,,Consumptive,,,,,
AGRICULTUREWETLAND,AGRICULTURE - WETLAND,Agriculture Irrigation,TX,,,Consumptive,,,,,
AGR,Agriculture other than irrigation,Agriculture Irrigation,NM,,,Consumptive,,,,,
AgricultureUses,Agriculture Uses,Agriculture Irrigation,OR,,,Consumptive,,,,,
Cranberry,Cranberry,Agriculture Irrigation,OR,,,Consumptive,,,,,
HarvestingOFCranberries,Harvesting of Cranberries,Agriculture Irrigation,OR,,,Consumptive,,,,,
US_IrrigatedAgriculture,Irrigated Agriculture,Agriculture Irrigation,"NM, US",,,Consumptive,,,,,
Irrigation,Irrigation,Agriculture Irrigation,"AZ, CA, CO, ID, KS, MT, ND, NE, NJ, NM, NV, OK, OR, SD, TX, UT, WA","01, 1, IR, I",,Consumptive,,,,,
IrrigationGroundWater,Irrigation - Ground Water,Agriculture Irrigation,WY,,,Consumptive,,,,,
IrrigationSurfaceWater,Irrigation - Surface Water,Agriculture Irrigation,WY,,,Consumptive,,,,,
IrrigationAndDomestic,Irrigation and Domestic,Agriculture Irrigation,OR,,,Consumptive,,,,,
IrrigationIncidentalUndergroundStorage,Irrigation and Incidental Underground Storage,Agriculture Irrigation,NE,,,Consumptive,,,,,
IrrigationStorage,Irrigation and Storage (an appropriation approved for both uses),Agriculture Irrigation,NE,,,Consumptive,,,,,
IrrigationFromNaturalStream,Irrigation from Natural Stream,Agriculture Irrigation,NE,,,Consumptive,,,,,
IrrigationFromStor,Irrigation From Storage,Agriculture Irrigation,ID,3,,Consumptive,,,,,
IrrigationOFCranberries,Irrigation of Cranberries,Agriculture Irrigation,OR,,,Consumptive,,,,,
IrrigationCareyAct,Irrigation-Carey Act,Agriculture Irrigation,NV,,,Consumptive,,,,,
IrrigationDLE,Irrigation-DLE,Agriculture Irrigation,NV,,,Consumptive,,,,,
NurseryUses,Nursery Uses,Agriculture Irrigation,OR,,,Consumptive,,,,,
PracticablyIrrigableAcreage,PRACTICABLY IRRIGABLE ACREAGE,Agriculture Irrigation,OR,,,Consumptive,,,,,
PrimaryAndSupplementalIrrigation,Primary and Supplemental Irrigation,Agriculture Irrigation,OR,,,Consumptive,,,,,
SUBIRRIGATION,SUBIRRIGATION,Agriculture Irrigation,ID,,,Consumptive,,,,,
SupplementalIrrigation,Supplemental Irrigation,Agriculture Irrigation,"NE, OR",,,Consumptive,,,,,
SupplementalIrrigationIncidentalUndergroundStorage,Supplemental Irrigation and Incidental Underground Storage,Agriculture Irrigation,NE,,,Consumptive,,,,,
Aquaculture,Aquaculture,Aquaculture,"AZ, CA, OR, TX",,,Non-consumptive,,,,,
CULTIVATIONOFFISH,CULTIVATION OF FISH,Aquaculture,AZ,,,Non-consumptive,,,,,
FishCulture,Fish Culture,Aquaculture,"NE, OR",,,Non-consumptive,,,,,
FishHabitat,Fish Habitat,Aquaculture,ID,56,,Non-consumptive,,,,,
FishHabitatStorage,Fish Habitat Storage,Aquaculture,ID,65,,Non-consumptive,,,,,
FishPropagation,Fish Propagation,Aquaculture,"ID, WA, WY",19,,Non-consumptive,,,,,
FishPropagationFromStor,Fish Propagation From Storage,Aquaculture,ID,,,Non-consumptive,,,,,
FishPropagationStor,Fish Propagation Storage,Aquaculture,ID,20,,Non-consumptive,,,,,
FishRaceways,Fish Raceways,Aquaculture,MT,FR,,Non-consumptive,,,,,
Fishery,Fishery,Aquaculture,"CO, MT","6, FS",,Non-consumptive,,,,,
