WaDEBenUse,UniqueCount,len_WBU
Agriculture Irrigation,285150,1
Livestock,284228,1
Domestic,228128,1
Unspecified,59547,1
"Domestic,Livestock",54524,2
"Livestock,Other",42774,2
"Agriculture Irrigation,Domestic,Livestock",41422,3
Other,36466,1
"Agriculture Irrigation,Domestic",31902,2
"Agriculture Irrigation,Livestock",26338,2
Public Supply,22407,1
"Domestic,Municipal Irrigation",20138,2
Commercial/Industrial,18506,1
Mining,11781,1
Municipal Irrigation,10254,1
"Agriculture Irrigation,Unspecified",9673,2
In-stream Flow,9368,1
Recreation,6480,1
"Domestic,Livestock,Municipal Irrigation",6428,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Unspecified",5753,6
Reservoir Storage,4418,1
Aquaculture,3299,1
Fire,3205,1
"Livestock,Unspecified",2644,2
"Agriculture Irrigation,Other",2592,2
"Public Supply,Unspecified",2517,2
"Fire,Livestock",2479,2
"Commercial/Industrial,Domestic",2424,2
"Domestic,Unspecified",2403,2
"Agriculture Irrigation,Public Supply",2037,2
"Agriculture Irrigation,Livestock,Other",1596,3
"Livestock,Other,Unspecified",1384,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Public Supply,Recreation,Unspecified",1357,9
Aquifer Recharge,1343,1
"Domestic,Livestock,Other",1331,3
"Agriculture Irrigation,Domestic,Livestock,Other",1283,4
"Domestic,Fire",1184,2
"Domestic,Other",1147,2
"Agriculture Irrigation,Commercial/Industrial,Domestic",1078,3
"Agriculture Irrigation,Domestic,Other",1039,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation",1024,9
"Domestic,Public Supply",975,2
"Commercial/Industrial,Livestock",916,2
"Agriculture Irrigation,Domestic,Fire,Livestock",886,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Public Supply",882,4
"Agriculture Irrigation,Commercial/Industrial",881,2
"Agriculture Irrigation,Domestic,Livestock,Municipal Irrigation",866,4
"Agriculture Irrigation,Domestic,Unspecified",821,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation,Unspecified",776,9
"Reservoir Storage,Unspecified",677,2
"Aquaculture,Other,Recreation",645,3
"Fire,Livestock,Other",635,3
"In-stream Flow,Unspecified",625,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Public Supply,Recreation",602,6
"Livestock,Municipal Irrigation",599,2
"Aquaculture,Recreation",596,2
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation",546,6
"Agriculture Irrigation,Domestic,Fire",542,3
"Agriculture Irrigation,Domestic,Public Supply",536,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply,Recreation,Unspecified",533,8
"Domestic,Fire,Livestock",531,3
"Agriculture Irrigation,Recreation",525,2
Thermoelectric Cooling,520,1
"Agriculture Irrigation,Aquaculture",513,2
"Agriculture Irrigation,Livestock,Unspecified",512,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock",510,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation,Unspecified",497,9
"Agriculture Irrigation,Domestic,Municipal Irrigation",412,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,Public Supply,Recreation,Unspecified",405,9
"Agriculture Irrigation,Fire",405,2
"Agriculture Irrigation,Aquaculture,Livestock",396,3
Hydroelectric,391,1
"Commercial/Industrial,Domestic,Livestock",381,3
"In-stream Flow,Livestock",345,2
"Agriculture Irrigation,In-stream Flow",344,2
"Other,Unspecified",340,2
"Aquaculture,Livestock",326,2
"Agriculture Irrigation,Aquaculture,Domestic,Livestock",322,4
"Agriculture Irrigation,Domestic,Livestock,Public Supply",318,4
"Agriculture Irrigation,Domestic,Livestock,Unspecified",318,4
"Aquaculture,Livestock,Other,Recreation",310,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Public Supply",308,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Unspecified",296,5
"Domestic,Recreation",294,2
"Livestock,Other,Recreation",292,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation",292,7
"Commercial/Industrial,Municipal Irrigation",279,2
"Aquaculture,Unspecified",271,2
"Aquaculture,Domestic",266,2
"Other,Recreation",265,2
"Agriculture Irrigation,Aquaculture,Recreation",265,3
"Aquaculture,Domestic,Livestock",262,3
"Aquaculture,Fire,Livestock,Other,Recreation",259,5
"Agriculture Irrigation,Fire,Livestock",258,3
"Recreation,Unspecified",253,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,In-stream Flow,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",252,11
"Commercial/Industrial,Unspecified",247,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Public Supply,Recreation",247,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation",244,8
"Domestic,Livestock,Recreation",244,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Unspecified",244,10
"Fire,Livestock,Other,Recreation",240,4
"Agriculture Irrigation,Aquaculture,Other,Recreation",235,4
"Domestic,In-stream Flow",232,2
"Livestock,Recreation",232,2
"Agriculture Irrigation,Domestic,Livestock,Recreation",230,4
"Domestic,Mining",228,2
"Fire,Other",225,2
"Aquaculture,Other",225,2
"Domestic,Livestock,Unspecified",221,3
"Commercial/Industrial,Public Supply",214,2
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire",211,4
"Aquaculture,Fire,Other,Recreation",210,4
"Agriculture Irrigation,Livestock,Public Supply",208,3
"Commercial/Industrial,Domestic,Public Supply",207,3
"Agriculture Irrigation,Commercial/Industrial,Livestock",205,3
"Agriculture Irrigation,Domestic,Recreation",204,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Public Supply",202,5
"In-stream Flow,Recreation",201,2
"Agriculture Irrigation,Aquaculture,Livestock,Recreation",199,4
"Aquifer Recharge,Unspecified",198,2
"Agriculture Irrigation,Domestic,Fire,Livestock,Unspecified",197,5
"Agriculture Irrigation,Municipal Irrigation",195,2
"Commercial/Industrial,Fire",190,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Unspecified",187,9
"Agriculture Irrigation,Aquifer Recharge",187,2
"Commercial/Industrial,Other",186,2
"Agriculture Irrigation,Aquaculture,Domestic",186,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Public Supply",181,5
"Other,Public Supply",178,2
"Agriculture Irrigation,Livestock,Recreation",172,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Recreation,Unspecified",171,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply,Recreation",169,7
"Agriculture Irrigation,Domestic,Livestock,Mining",168,4
"Aquaculture,Livestock,Recreation",166,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation",164,8
"Hydroelectric,Other,Public Supply,Unspecified",161,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Recreation,Unspecified",159,7
"Agriculture Irrigation,In-stream Flow,Livestock",158,3
"Commercial/Industrial,Domestic,Fire",156,3
"Commercial/Industrial,Domestic,Municipal Irrigation",152,3
"Agriculture Irrigation,Commercial/Industrial,Public Supply",151,3
"In-stream Flow,Public Supply,Unspecified",150,3
"Agriculture Irrigation,Commercial/Industrial,Fire,Hydroelectric,Reservoir Storage,Unspecified",149,6
"Agriculture Irrigation,Aquaculture,Livestock,Other",148,4
"Domestic,Fire,Public Supply",146,3
